id,traffic_light_id,created_at,changed_state
1,8918,41930.78996,1
2,20090,41930.79736,2
3,20090,41930.79741,3
4,20090,41930.79774,1
5,20090,41930.7982,2
6,20090,41930.79822,3
7,20090,41930.79854,1
8,20090,41930.79898,2
9,20090,41930.79903,3
10,20090,41930.79935,1
11,20090,41930.79979,2
12,20090,41930.79984,3
13,9163,41930.80094,3
14,9163,41930.80158,1
15,9163,41930.80178,3
16,9165,41930.80318,3
17,9165,41930.80363,1
18,9165,41930.80399,3
19,9165,41930.80443,1
20,8837,41930.80974,3
21,20091,41930.81002,2
22,20091,41930.81005,3
23,8837,41930.81025,1
24,20091,41930.81049,1
25,8837,41930.81051,2
26,8837,41930.81051,3
27,20091,41930.81083,2
28,20091,41930.81087,3
29,8837,41930.81129,2
30,20091,41930.81131,1
31,8837,41930.81133,3
32,20091,41930.81164,2
33,20091,41930.81168,3
34,8837,41930.81191,1
35,20091,41930.81211,1
36,8837,41930.81213,2
37,8837,41930.81213,3
38,8837,41930.81215,3
39,20091,41930.81245,2
40,20091,41930.81248,3
41,8835,41930.81412,1
42,8835,41930.81425,2
43,8835,41930.81428,3
44,8835,41930.81495,1
45,8835,41930.81505,2
46,8835,41930.81509,3
47,8835,41930.81587,2
